ind,definition,total_views,total_likes,avg_daily_views,total_comments,publish_date,title,tags,k,quarter,grade_level,teacher,episode,subject,duration_in_seconds,tag_type
966,hd,56973,1339,151,24,2021-01-18,SHS FILIPINO Q1 Ep 6 Gamit ng Wika sa Lipunan,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,loren domer ybañez,Episode 06,komunikasyon at pananaliksik,1304,9
967,hd,10981,192,29,4,2021-01-18,SHS Pagbasa at Pagsusuri Q1 Ep 6 Tekstong Prosidyural,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jerson quiachon orbiso,Episode 06,pagbasa at pagsusuri,1196,9
968,hd,60417,1440,160,26,2021-01-18,SHS FIlipino Q1 Ep 5 Barayti ng Wika,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,loren domer ybañez,Episode 05,filipino,2256,9
969,hd,8436,148,22,2,2021-01-18,SHS Pagbasa at pagsusuri Q1 Ep 8 Tekstong Argumento,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jerson quiachon orbiso,Episode 08,pagbasa at pagsusuri,1297,9
970,hd,50857,1053,135,9,2021-01-18,SHS PE and Health Q1 Ep 1 Health Optimizing Physical Education,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,joseph pagulayan,Episode 01,physical education & health,1305,9
971,hd,16944,277,43,22,2020-12-29,SHS MIL Ep6: Sources of Information,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter Not Specified,Grade 11,brex brayan nicolas,Episode 06,media and information literacy,1419,9
972,hd,17459,305,44,10,2021-01-03,SHS 21st CENTURY LIT Ep7: Creative Representation of a Literary Text,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter Not Specified,Grade 11,nova dolore pelayo,Episode 07,21st century literature,921,9
973,hd,18464,315,47,3,2020-12-30,SHS ORAL COMMUNICATION Ep6: Aspects of Effective Communication,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter Not Specified,Grade 11,derry ann belen,Episode 06,oral communication,1291,9
974,hd,4478,87,11,2,2020-12-29,SHS Q1 Statistics & Probability EP4:Application of the Mean and Variance of Probability Distribution,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,reverie vargas,Episode 04,statistics,1808,9
975,hd,6837,119,17,3,2021-01-03,SHS PERSONAL DEVELOPMENT  Ep8: Enhance Brain Functions-Emotional Intelligence,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter Not Specified,Grade 11,mark anthony jamisal,Episode 08,physical educational development,1684,9
976,hd,37859,694,95,18,2020-12-28,SHS Oral Communication Q1 Ep4: Strategies to Avoid Communication Breakdown,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,derry ann belen,Episode 04,oral communication,1123,9
977,hd,8963,168,22,3,2020-12-26,SHS Earth and Life Science Q1 Ep6: Relative & Absolute Dating and Geologic Timeline,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,paul patrick guanzon,Episode 06,earth & life science,1343,9
978,hd,23543,340,59,26,2020-12-26,SHS Statistics Q1 Ep7: Mean and Variance of Sampling Distribution of the Sample Mean ...,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,reverie vargas,Episode 07,statistics,1510,9
979,hd,9298,157,23,2,2020-12-26,SHS Philippine Arts Q1 Ep7: Element and Principles of Contemporary Arts,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,joanne dioso peralta,Episode 07,contemporary philippine arts from the regions,981,9
980,hd,12376,212,31,5,2020-12-26,SHS Pagbasa Q1 Episode 7: Tekstong Naratibo,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,jerson quiachon orbiso,Episode 07,pagbasa,1036,9
981,hd,3095,65,8,1,2020-12-23,SHS  Reading and Writing Q1 Ep11: Persuasive Essay,"['DepEd', 'DepEd TV', 'Online Learning', 'DepEd Online', 'Deped tv official', 'depedtv', 'deped module', 'ibc depedtv', 'ibc13 deped tv', 'depedtv channel', 'ibc depedtv channel']",11,Quarter 1,Grade 11,kit alfonso nadado,Episode 11,reading and writing,1610,9
